顧客番号,契約年月日,年齢,性別,出身地,購入年月日,購買金額
C1899,20230901,64,2,中部,20251015,10591.0
C1073,20210830,66,2,関東,20250415,1182.0
C0567,20231223,58,2,九州,20250125,2970.0
C0666,20201205,27,1,北海道,20250222,42922.0
C1379,20240813,38,2,中国,20250904,29862.0
C1736,20200520,80,2,四国,20251203,25755.0
C1332,20230301,59,2,東北,20251008,39863.0
C0868,20210919,77,2,関東,20250202,14416.0
C1909,20210319,69,2,近畿,20251014,8672.0
C1654,20221206,27,1,中部,20250205,12932.0
C1799,20210617,73,1,中部,20251209,41996.0
C1070,20220107,24,1,中国,20250827,3559.0
C0302,20201029,30,1,関東,20250805,-4936.0
C0868,20210919,77,2,関東,20250626,-1701.0
C0912,20220320,65,1,中部,20250213,-151.0
C0408,20231106,68,2,中部,20251031,639.0
C1213,20220102,71,2,中部,20250607,46187.0
C0822,20210209,37,2,中国,20250926,6055.0
C1854,20210226,80,1,北海道,20250620,17058.0
C1153,20230923,30,2,中国,20250809,24427.0
C0561,20231203,67,2,近畿,20250818,46380.0
C1561,20240219,41,1,近畿,20250401,49772.0
C1290,20200702,53,1,九州,20250511,11980.0
C1142,20211222,65,1,東北,20250814,47758.0
C0464,20231111,66,1,四国,20250813,5866.0
C0144,20231214,54,2,中部,20250523,-1111.0
C0442,20220505,45,2,北海道,20250307,47658.0
C1224,20210513,55,1,中部,20250128,43226.0
C1181,20221203,56,2,北海道,20250505,26335.0
C0487,20211218,20,1,四国,20250731,45547.0
C0860,20221028,37,1,関東,20250321,21162.0
C1158,20240705,19,1,中国,20250826,18913.0
C1936,20200112,37,2,中部,20250512,19687.0
C0148,20210909,70,1,中部,20251124,28220.0
C1360,20230818,53,1,関東,20251027,5995.0
C1095,20201103,38,2,中部,20250429,-2369.0
C1257,20230716,33,2,中部,20250215,29954.0
C1358,20220805,71,1,九州,20250325,967.0
C0811,20220927,23,1,関東,20251009,17758.0
C0666,20201205,27,1,北海道,20251218,16742.0
C0090,20210206,62,2,近畿,20250113,32116.0
C1358,20220805,71,1,九州,20250505,21580.0
C0199,20201022,23,1,,20251121,29227.0
C1185,20230712,57,2,近畿,20250621,-3058.0
C0538,20211005,55,1,中部,20250822,42664.0
C1145,20230802,52,2,中国,20250630,23069.0
C0301,20210912,58,1,中部,20250220,16806.0
C0724,20220219,43,1,四国,20250926,9407.0
C1599,20230315,60,2,北海道,20250618,43390.0
C0963,20240203,32,2,九州,20251112,9557.0
C1460,20240803,78,1,東北,20251015,49348.0
C0068,20200407,62,1,中国,20251001,11445.0
C1789,20220807,51,1,四国,20251215,12878.0
C1946,20221128,56,2,関東,20250726,12564.0
C0459,20210612,55,1,関東,20250528,NaN
C1538,20220529,77,2,九州,20251027,30556.0
C0398,20240412,78,2,中部,20250206,21451.0
C0620,20201026,75,1,,20250610,38168.0
C1310,20221030,35,2,,20251002,48788.0
C1585,20231106,38,2,東北,20251015,48873.0
C1164,20200522,59,2,四国,20250416,49862.0
C0730,20210513,59,2,中部,20250122,19086.0
C0556,20240214,37,2,近畿,20250821,11489.0
C1953,20231202,53,1,九州,20250502,NaN
C0781,20220619,27,1,北海道,20250509,15471.0
C1614,20220321,48,1,,20251106,21284.0
C1752,20200316,25,2,九州,20250805,31693.0
C0894,20230531,43,1,北海道,20250528,13292.0
C0610,20210907,79,2,中部,20250227,13433.0
C0748,20230612,56,1,北海道,20250825,9568.0
C0282,20220402,20,2,中国,20250311,40424.0
C0661,20240212,73,2,北海道,,4466.0
C0924,20200219,58,1,中部,20250830,20521.0
C1840,20210218,69,1,四国,20250304,31672.0
C0996,20220228,43,1,中国,20250829,10467.0
C1960,20230801,77,1,中部,20250704,27019.0
C1602,20210830,22,1,九州,20250916,5419.0
C0746,20200725,31,2,東北,20250817,47948.0
C1481,20221012,38,1,四国,20250811,11676.0
C0087,20220807,35,2,九州,20250409,24255.0
C1103,20240219,41,2,九州,20250904,26514.0
C1229,20231026,47,2,四国,20250214,38182.0
C0791,20221103,18,2,中国,20250930,17650.0
C1361,20221114,48,2,北海道,20250105,17754.0
C1278,20210322,25,1,中部,20250111,7165.0
C0304,20240606,62,2,四国,20251214,5683.0
C1404,20220121,19,2,関東,20250208,27556.0
C0130,20210901,37,2,東北,20250211,10442.0
C0596,20210504,23,2,北海道,20250722,-140.0
C1300,20240521,74,2,近畿,20250404,-1271.0
C1723,20241116,32,1,四国,20250105,26351.0
C0558,20240307,27,2,九州,20250221,42168.0
C0899,20210829,29,1,中国,20250530,19346.0
C1207,20240902,38,1,関東,20250724,49662.0
C1292,20230803,40,1,北海道,20251027,3619.0
C1832,20230316,46,1,近畿,20250706,6164.0
C1346,20231227,44,1,中部,20250602,33878.0
C1536,20230225,18,2,北海道,20250426,1955.0
C1636,20240318,27,1,近畿,20250529,-4894.0
C0078,20200602,56,2,近畿,20250808,-246.0
C0784,20220218,58,2,近畿,20250711,39293.0
C1363,20220910,18,1,東北,20250821,16662.0
C0674,20210617,50,2,東北,20251120,1408.0
C1580,20220102,52,1,関東,20250809,35403.0
C1533,20230402,73,2,近畿,20250216,-3775.0
C0238,20201021,76,2,北海道,20250507,7196.0
C1158,20240705,19,1,中国,20251018,-750.0
C1997,20211024,35,2,近畿,20250803,10372.0
C1216,20231201,75,1,四国,20250107,12279.0
C1380,20200710,51,2,近畿,20250703,39865.0
C0278,20200328,79,2,近畿,20250426,25193.0
C1042,20230606,69,2,北海道,20250221,45772.0
C0524,20201130,38,1,東北,20250215,49240.0
C0180,20200730,25,1,中部,20250123,39823.0
C0123,20220804,64,2,中部,20250511,21868.0
C1270,20231010,18,2,北海道,20250507,33187.0
C1758,20220827,21,1,九州,20250922,45537.0
C1397,20200225,77,1,四国,20251105,43481.0
C1075,20210225,78,1,九州,20250715,23475.0
C1095,20201103,38,2,中部,20250217,39552.0
C0480,20210228,25,2,北海道,20250323,-2567.0
C1584,20200619,37,2,東北,20250419,5998.0
C1043,20231114,63,1,中部,20250920,39343.0
C1798,20200808,23,2,四国,20251221,26133.0
C0084,20200817,39,2,東北,20250131,29069.0
C1179,20231022,59,1,北海道,20251224,1858.0
C0565,20201109,50,2,北海道,20250225,3950.0
C0619,20211011,23,1,近畿,20251221,3938.0
C0357,20210401,24,2,中国,20250708,20168.0
C0816,20221223,67,1,東北,20250105,27099.0
C0647,20200604,46,1,中部,20251013,644.0
C0443,20230729,46,1,近畿,20251005,38846.0
C1093,20230702,39,2,東北,20250525,49240.0
C0523,20210710,25,2,九州,20250715,4260.0
C0143,20240731,79,2,東北,20250127,49592.0
C0192,20240517,74,1,九州,20250507,42458.0
C1411,20241207,36,2,関東,20250515,31075.0
C0378,20240617,29,1,中部,20250123,48860.0
C0581,20230120,75,2,中国,20251127,11488.0
C0535,20200228,42,1,東北,20250427,47985.0
C1717,20201030,38,2,東北,20250108,-4605.0
C1317,20230210,39,2,中部,20250411,47669.0
C1033,20240102,30,1,東北,20250918,5845.0
C1295,20211015,19,2,中国,20250718,31059.0
C1411,20241207,36,2,関東,20250327,13394.0
C0093,20210101,79,2,中部,20250816,23457.0
C1990,20230124,61,1,九州,20250628,40906.0
C0529,20241022,64,2,九州,20250828,32305.0
C1178,20240913,55,2,中部,20250112,37628.0
C0405,20230224,64,2,中部,20251030,16352.0
C0840,20230215,70,1,近畿,20250822,16146.0
C1173,20240911,77,1,九州,20250702,12435.0
C0889,20200627,27,2,東北,20251009,NaN
C1291,20240530,50,1,北海道,20251224,34386.0
C0422,20200623,56,2,九州,20250709,32491.0
C1864,20230912,70,2,中国,20251122,49676.0
C1642,20200812,19,1,九州,20250803,14968.0
C0472,20200125,44,2,北海道,20250915,42605.0
C0893,20241109,34,1,近畿,20250126,3539.0
C0547,20230612,29,1,北海道,20250927,-3737.0
C0631,20220301,35,1,中国,20250323,8305.0
C1550,20200824,72,2,関東,20251224,48817.0
C1527,20230912,38,1,関東,20250704,19398.0
C1038,20220409,78,1,四国,20251015,38702.0
C0778,20240928,33,2,中国,20250303,27080.0
C1676,20230919,68,1,東北,20250130,5265.0
C1830,20200514,24,1,九州,20250131,44107.0
C0364,20240430,77,2,九州,20251020,27152.0
C0119,20220331,74,2,九州,20250622,22724.0
C1262,20230202,68,1,東北,20250412,25624.0
C0546,20231208,34,2,北海道,20250508,29119.0
C1193,20220810,76,1,九州,20250327,34958.0
C0522,20201128,34,1,東北,20251111,47979.0
C0634,20220105,40,1,近畿,20250128,24389.0
C1937,20231218,66,1,九州,20250502,46798.0
C1681,20241206,52,2,中部,20250908,11650.0
C0963,20240203,32,2,九州,20250302,21014.0
C0958,20230531,32,1,九州,20250620,5885.0
C1759,20221230,57,1,九州,20250929,2434.0
C0883,20230523,51,1,四国,20251121,NaN
C1793,20210415,28,1,中部,20251027,-3978.0
C0780,20230831,46,1,北海道,20250423,19331.0
C0871,20220730,67,1,近畿,20250713,-2963.0
C0516,20200425,70,1,中国,20250119,3756.0
C0938,20201225,63,1,中部,20251206,41326.0
C1421,20220101,73,1,近畿,20250403,12443.0
C0866,20211001,67,1,九州,20250805,29192.0
C0106,20230911,49,2,,20250628,-877.0
C1109,20210930,41,2,関東,20250710,11603.0
C0214,20240422,52,1,中部,20250612,-4595.0
C1145,20230802,52,2,中国,20250410,37597.0
C1156,20210828,79,1,九州,20250706,13702.0
C0850,20220830,74,2,中部,20251022,37719.0
C0197,20220801,20,2,四国,20250308,21250.0
C0019,20240113,42,2,近畿,20250314,36751.0
C0642,20230530,72,2,東北,20250820,16442.0
C1036,20201210,51,2,北海道,20250708,12693.0
C1105,20231130,74,2,四国,20250219,19005.0
C0330,20231017,35,2,中部,20251105,39793.0
C0866,20211001,67,1,九州,20251029,32697.0
C0774,20240703,27,2,関東,20251104,23988.0
C0392,20221016,46,1,関東,20250504,27333.0
C0637,20200302,42,1,北海道,20250606,24992.0
C0307,20200309,59,2,北海道,20250918,4522.0
C1291,20240530,50,1,北海道,20250714,40406.0
C1471,20230616,22,1,九州,20251126,36470.0
C1465,20210812,39,1,関東,20251217,38532.0
C0895,20210922,25,2,関東,20251127,NaN
C0652,20220517,68,2,中部,20250913,9219.0
C0841,20210615,67,1,関東,20250719,-3383.0
C1026,20210319,42,2,九州,20250309,38016.0
C0520,20200322,28,2,中国,20250321,45672.0
C1786,20220222,31,2,東北,20250821,19276.0
C1675,20221114,49,1,北海道,20250705,29351.0
C0636,20210118,30,2,四国,20250415,NaN
C1333,20200327,47,1,近畿,20251121,35756.0
C0740,20220708,58,2,四国,20250522,12959.0
C1546,20231112,57,2,中国,20250929,23522.0
C0469,20220304,32,1,近畿,20251209,4953.0
C0212,20240731,76,1,九州,20250504,21567.0
C1136,20240205,51,1,北海道,20250811,17560.0
C1032,20220630,38,2,関東,20250623,-2387.0
C0804,20220728,66,1,関東,20250710,31660.0
C0477,20210519,34,1,北海道,20250520,40104.0
C0874,20210602,72,1,中部,20251024,34501.0
C0460,20200619,32,1,九州,,32199.0
C0253,20230426,76,2,北海道,20251002,19496.0
C1550,20200824,72,2,関東,20250317,12765.0
C0752,20230516,56,1,北海道,20250419,20721.0
C1462,20200614,24,1,東北,20250429,-1485.0
C1778,20201011,53,1,北海道,20250915,-546.0
C0981,20240109,31,2,関東,20250120,NaN
C0854,20240101,64,1,北海道,20250429,17873.0
C1685,20240608,72,1,関東,20251217,3384.0
C0236,20210124,73,2,関東,20250517,8727.0
C1330,20200519,47,1,中国,20251004,-1466.0
C0478,20240609,46,2,中部,20250912,28523.0
C0679,20240825,38,2,四国,20250921,26889.0
C1044,20220905,44,1,北海道,,46677.0
C0216,20201001,35,1,中国,20250614,44979.0
C0855,20240410,60,1,近畿,20250129,20465.0
C0135,20220530,20,1,東北,20250204,48900.0
C0905,20241101,50,1,四国,20250825,46485.0
C1153,20230923,30,2,,20251021,25593.0
C0410,20240814,75,2,四国,20250331,16330.0
C1446,20231220,77,1,九州,20250722,3302.0
C1318,20200927,77,2,九州,20250816,7907.0
C1270,20231010,18,2,北海道,20250309,19430.0
C1725,20240206,40,2,中部,20250511,36752.0
C1580,20220102,52,1,関東,20251231,42153.0
C0086,20210706,30,1,東北,20250421,2181.0
C0556,20240214,37,2,近畿,20250112,41213.0
C1866,20201101,53,2,北海道,20251015,7875.0
C1399,20230614,23,2,北海道,20250624,22219.0
C1470,20240329,39,1,近畿,20251115,31182.0
C0378,20240617,29,1,中部,20250603,10005.0
C1414,20240613,42,2,関東,20250212,37269.0
C1681,20241206,52,2,中部,20251229,9245.0
C1075,20210225,78,1,九州,20250724,1457.0
C0242,20240913,20,1,北海道,20250621,1749.0
C1318,20200927,77,2,九州,20251021,28064.0
C0920,20210723,23,2,関東,20251012,4821.0
C1587,20211024,75,1,九州,20251107,44720.0
C0266,20210526,54,2,中部,20250221,27761.0
C1144,20220701,32,1,九州,20250425,33051.0
C0712,20230119,75,2,四国,20250119,8119.0
C1941,20210605,53,1,中国,20250204,2664.0
C1272,20240915,47,2,四国,20250217,24281.0
C0070,20241231,20,2,北海道,20250821,35279.0
C1877,20211211,80,1,四国,20250807,26821.0
C0057,20230110,35,2,北海道,20250420,33233.0
C1406,20240112,40,2,中部,20250911,19647.0
C0039,20201203,31,1,関東,20250707,40325.0
C0801,20210415,29,1,九州,20250131,-618.0
C1467,20220212,24,2,関東,20250916,11449.0
C1042,20230606,69,2,北海道,20250612,12263.0
C1976,20201109,52,1,近畿,20251210,19643.0
C0732,20210522,31,1,東北,20251104,4408.0
C0825,20220731,18,2,東北,20250312,18606.0
C0756,20201204,42,2,九州,20251103,22603.0
C0352,20210415,52,1,近畿,20250225,41458.0
C1996,20200713,37,1,中国,20250409,69.0
C1840,20210218,69,1,四国,20250121,14623.0
C1322,20240912,29,1,中部,20250418,39440.0
C0283,20221023,73,2,北海道,20250222,11891.0
C1610,20210322,49,1,東北,20250106,2704.0
C0110,20221218,63,1,中部,20250819,23290.0
C1017,20220907,38,2,九州,20250323,22460.0
C1204,20220601,61,2,関東,20250805,12509.0
C1962,20210607,48,1,関東,20251201,12269.0
C0544,20210910,41,2,中部,20250216,46993.0
C1770,20210405,44,1,四国,20251218,2975.0
C1818,20220704,56,1,関東,20251228,39837.0
C0025,20230112,62,2,中国,20250829,1565.0
C0843,20200614,76,1,中国,20250627,17467.0
C0791,20221103,18,2,中国,20250323,-130.0
C0738,20231209,55,1,四国,20251014,13909.0
C0057,20230110,35,2,北海道,20250711,4117.0
C0180,20200730,25,1,中部,20250523,48367.0
C0232,20210504,54,2,四国,20251110,-3062.0
C1918,20201029,79,2,九州,20251006,23390.0
C0343,20221128,66,1,中部,20250210,39322.0
C0477,20210519,34,1,北海道,20250928,31000.0
C1823,20220915,21,2,九州,20250328,15128.0
C0576,20240923,19,2,北海道,20250103,26781.0
C0455,20220331,76,1,九州,20250730,-1535.0
C1256,20200227,20,2,近畿,20250101,-4560.0
C0289,20240625,62,1,関東,20250316,44613.0
C1237,20200413,30,1,四国,20250819,413.0
C0258,20230629,55,2,関東,20250317,6663.0
C0530,20201118,48,2,四国,20250917,33523.0
C0687,20230525,45,2,近畿,20250125,32780.0
C0929,20210717,70,2,四国,20250719,14547.0
C0229,20241204,26,1,中部,20250404,11126.0
C1250,20240522,29,2,北海道,20251218,34520.0
C0596,20210504,23,2,北海道,20250418,-4995.0
C1827,20211010,37,2,中部,20251221,32544.0
C0435,20231227,28,2,北海道,20250405,2038.0
C0882,20230419,64,2,中部,20251222,1414.0
C1021,20200719,33,1,中部,20250401,17123.0
C1782,20220410,75,2,中国,20250213,-1030.0
C0402,20200903,28,2,四国,20250123,NaN
C0622,20230515,43,2,近畿,20250709,-2394.0
C1790,20221119,70,2,中国,20250123,11482.0
C0088,20200527,50,1,九州,20250822,28293.0
C0584,20200807,51,2,北海道,20250705,1337.0
C1917,20210707,47,2,中部,20251107,28948.0
C1566,20240307,61,1,四国,20251129,19451.0
C1708,20221009,60,2,東北,20250304,21265.0
C0309,20200714,80,2,近畿,20250413,20714.0
C0906,20230825,18,2,近畿,20251112,15875.0
C0343,20221128,66,1,中部,20250708,8057.0
C0436,20200901,44,2,中部,20251202,27400.0
C0177,20210111,69,1,東北,20250708,922.0
C0139,20220327,47,1,関東,20251217,-1929.0
C0194,20231021,58,1,北海道,20250310,17025.0
C1210,20240213,25,1,関東,20250424,22503.0
C1242,20230316,72,2,近畿,20250414,18765.0
C1188,20200519,53,1,九州,20250418,30560.0
C1185,20230712,57,2,近畿,20251211,48930.0
C0943,20220511,51,2,東北,20250121,41612.0
C0525,20210615,35,2,関東,20250923,27782.0
C1832,20230316,46,1,近畿,20251209,13799.0
C1625,20240307,79,2,四国,20250728,30453.0
C1860,20220625,29,1,北海道,20250619,22476.0
C1066,20231206,27,1,中国,20250713,11212.0
C0915,20210508,43,2,四国,20251213,4428.0
C0210,20230820,66,1,中国,20250503,26419.0
C0741,20200423,79,1,四国,20250626,3159.0
C0862,20201022,79,1,関東,20250104,19310.0
C1299,20220312,44,1,中部,20250707,31868.0
C0954,20200410,71,2,中国,20251212,34142.0
C1303,20210524,28,1,近畿,20251218,1004.0
C1275,20200728,23,1,九州,20250129,33289.0
C1334,20240907,31,2,中部,20250327,6412.0
C1744,20220907,64,1,四国,20250216,6755.0
C0833,20230209,50,1,中国,20250318,47449.0
C0140,20230306,67,1,九州,20251209,14017.0
C0792,20241004,74,2,北海道,20250710,-1110.0
C0546,20231208,34,2,北海道,20250131,23840.0
C1845,20200705,51,2,東北,20251103,12175.0
C1017,20220907,38,2,九州,20250618,4191.0
C1928,20230730,59,1,九州,20250205,-4849.0
C1554,20220127,39,2,九州,20250902,14447.0
C0057,20230110,35,2,北海道,20251217,17751.0
C0112,20200914,46,1,四国,20250707,24175.0
C0005,20210531,41,1,関東,20250115,19288.0
C1434,20240530,24,2,四国,20251130,41629.0
C1438,20210705,50,1,東北,20250804,46243.0
C1206,20210906,49,2,北海道,20250607,42800.0
C1037,20200811,31,2,九州,20250604,32367.0
C1363,20220910,18,1,東北,20250829,7274.0
C1821,20240827,55,1,北海道,20251023,7218.0
C1283,20210104,33,1,近畿,20250214,18792.0
C0090,20210206,62,2,近畿,20250624,-2023.0
C0616,20240617,37,1,近畿,20251212,12226.0
C0891,20230611,67,1,中部,20250225,24022.0
C0698,20230705,53,2,関東,20250223,-1207.0
C1274,20220615,37,1,東北,20251207,-3341.0
C1279,20210404,56,1,北海道,20250922,32930.0
C1612,20230203,45,2,近畿,20250827,38473.0
C0898,20230515,66,2,九州,20251117,11040.0
C0971,20230428,49,2,関東,20250418,-730.0
C1132,20220219,64,2,北海道,20250717,8286.0
C0668,20200609,52,2,東北,20250802,-1397.0
C0594,20220507,23,2,四国,20250903,41540.0
C0589,20211227,57,2,北海道,20250207,12600.0
C0485,20241103,69,1,九州,20250622,-2709.0
C0982,20230928,27,2,九州,20250415,8123.0
C0972,20210328,66,1,東北,20250209,-1189.0
C1282,20241009,70,1,北海道,20250510,8347.0
C0639,20200826,68,2,中部,20250630,26276.0
C0997,20230117,42,1,関東,20250713,49145.0
C1927,20201228,36,1,関東,20251127,41619.0
C0282,20220402,20,2,中国,20251016,10513.0
C0986,20220104,20,2,中部,20251207,142.0
C1112,20201002,43,1,中国,20250228,18246.0
C1228,20200814,40,2,東北,20251217,20507.0
C0016,20200119,25,1,四国,20250126,21714.0
C1175,20210220,36,1,四国,20250413,7194.0
C0936,20200823,78,1,中国,20250121,2526.0
C0254,20220111,51,1,中部,20250321,14362.0
C1212,20210520,20,2,中部,20251123,49499.0
C0329,20230415,48,2,関東,20250718,41281.0
C0544,20210910,41,2,中部,20251118,39852.0
C0783,20240811,47,2,九州,20250206,41117.0
C0997,20230117,42,1,関東,20250114,42836.0
C1421,20220101,73,1,近畿,20250809,-405.0
C1541,20220318,50,1,東北,20251230,25394.0
C1483,20221219,40,2,中国,20250615,10402.0
C1354,20241123,42,2,北海道,20250622,22140.0
C1844,20201014,41,1,関東,20250530,17595.0
C0845,20230325,79,1,北海道,20250621,37723.0
C1193,20220810,76,1,九州,20250322,46322.0
C1717,20201030,38,2,東北,20251202,41764.0
C0366,20210509,47,1,中国,20250813,19911.0
C1202,20221201,77,2,近畿,20251225,20752.0
C0655,20240528,23,2,北海道,20250204,14405.0
C1386,20221005,77,2,東北,20251224,19220.0
C0760,20240413,52,1,中部,20250707,28953.0
C0639,20200826,68,2,中部,20250812,31053.0
C1799,20210617,73,1,中部,20250511,-1553.0
C1064,20241023,48,1,北海道,20251217,48143.0
C0924,20200219,58,1,中部,20251107,5662.0
C0416,20230805,46,1,近畿,20250109,-101.0
C1379,20240813,38,2,中国,20250310,23582.0
C0255,20211110,41,1,中国,20250128,43828.0
C1167,20211214,56,1,中部,20250822,-3065.0
C1776,20230827,26,2,中国,20250131,37213.0
C1764,20220307,60,1,北海道,20251111,37042.0
C1877,20211211,80,1,四国,20250820,5335.0
C0710,20220814,68,2,四国,20251204,12669.0
C0577,20200213,55,1,九州,20250223,3545.0
C0900,20220603,44,1,北海道,20250624,35247.0
C0011,20221218,40,1,九州,20251025,33023.0
C1644,20200422,30,2,関東,20251006,13269.0
C0026,20240913,43,2,北海道,20251231,32830.0
C0957,20240319,38,2,中国,20250327,2066.0
C0421,20201125,58,2,北海道,20250306,5712.0
C1687,20230522,66,2,北海道,20250330,10991.0
C1245,20240422,79,1,近畿,20250223,30790.0
C1877,20211211,80,1,四国,20250428,16649.0
C0496,20240912,63,1,北海道,20251227,29315.0
C1261,20220903,45,1,近畿,20250817,25806.0
C0237,20240630,20,2,近畿,20250924,7210.0
C1009,20240328,40,2,中国,20251115,31972.0
C0219,20201114,41,2,北海道,20250122,35358.0
C1511,20200119,43,1,東北,20250904,29136.0
C1960,20230801,77,1,中部,20251110,39297.0
C0461,20240409,51,2,中国,20250120,45909.0
C0663,20220605,76,1,東北,20250703,10945.0
C0635,20231024,29,2,四国,20251215,24665.0
C1168,20231019,58,2,四国,20250219,37477.0
C0990,20240102,65,2,北海道,20250331,8644.0
C0189,20231230,27,1,関東,20250414,-83.0
C0255,20211110,41,1,中国,20250713,14868.0
C0068,20200407,62,1,中国,20250315,6877.0
C0616,20240617,37,1,近畿,20250926,8224.0
C0336,20230521,29,2,四国,20250115,-1948.0
C0671,20220207,71,1,近畿,20251125,22272.0
C0821,20210907,54,1,近畿,20251010,36150.0
C0874,20210602,72,1,中部,20250717,25668.0
C1433,20220506,68,2,近畿,20251210,12316.0
C0300,20220820,65,2,近畿,20250714,48389.0
C1932,20230329,68,2,中国,20250205,2240.0
C1626,20210329,21,1,九州,20250724,26559.0
C0357,20210401,24,2,中国,20251104,-1762.0
C0256,20210223,77,1,東北,20250519,38175.0
C1008,20211109,65,1,九州,20250921,-4435.0
C0353,20210217,65,1,四国,20250226,16762.0
C1756,20210203,20,2,東北,20250420,558.0
C1545,20230428,77,2,中部,20250623,11375.0
C0524,20201130,38,1,東北,20250725,20710.0
C1861,20220605,47,2,関東,20250813,44895.0
C0950,20231214,28,1,四国,20250305,6103.0
C0756,20201204,42,2,九州,20250909,10174.0
C1718,20201024,32,1,九州,20250924,36490.0
C0284,20220831,57,1,近畿,20251218,16793.0
C1336,20210102,20,2,近畿,20251128,22597.0
C0099,20241008,47,2,関東,20251116,3753.0
C0197,20220801,20,2,四国,20251223,33397.0
C0482,20231019,44,2,九州,20250403,1318.0
C0878,20230616,55,2,四国,20250702,28069.0
C1250,20240522,29,2,北海道,20251027,15151.0
C1869,20241010,62,1,関東,20250802,48432.0
C0615,20210120,28,2,近畿,20250522,35274.0
C0618,20211216,21,2,中部,20250324,3701.0
C1389,20200721,49,1,四国,20250409,1962.0
C0368,20221204,46,2,中部,20251008,33197.0
C0570,20230830,50,1,中部,20250412,43634.0
C0590,20220917,28,1,九州,20251125,25041.0
C1099,20220204,43,2,東北,20250312,2248.0
C1066,20231206,27,1,中国,20251204,14829.0
C0422,20200623,56,2,九州,20250923,-2797.0
C0836,20221202,31,2,中部,20250510,46986.0
C1205,20200518,44,1,北海道,20250301,20370.0
C0545,20200405,58,1,東北,20251028,30247.0
C0071,20200726,54,2,東北,20250429,49008.0
C1592,20210911,69,1,九州,20250920,5386.0
C1129,20240206,72,2,関東,20251124,-4566.0
C1224,20210513,55,1,中部,20250121,37998.0
C1125,20240905,36,2,中国,20250407,29474.0
C0768,20240815,53,2,近畿,20251030,19644.0
C0307,20200309,59,2,北海道,20250101,33493.0
C1610,20210322,49,1,東北,20250722,13288.0
C1707,20210427,39,1,中部,20250508,-1041.0
C0377,20221107,34,2,関東,20251216,42289.0
C0655,20240528,23,2,北海道,20250512,6143.0
C0678,20210830,47,2,北海道,20250203,34593.0
C0399,20221031,29,2,近畿,20250328,34115.0
C1797,20220409,72,1,中国,20250201,40609.0
C0221,20210518,49,1,近畿,20250916,17540.0
C1619,20240115,19,2,近畿,20251120,30481.0
C0182,20240830,46,1,中部,20251109,24969.0
C0307,20200309,59,2,北海道,20250202,6561.0
C0522,20201128,34,1,東北,20251013,17578.0
C1420,20240101,48,1,九州,20251122,7787.0
C1014,20211021,76,1,中国,20250218,1512.0
C0004,20230125,33,1,北海道,20251013,47879.0
C0863,20220912,62,2,関東,20250323,5596.0
C1938,20230101,38,2,関東,20250524,26746.0
C0848,20230122,67,2,九州,20251007,14930.0
C0804,20220728,66,1,関東,20250402,42950.0
C1305,20220928,69,2,北海道,20250812,25201.0
C0215,20210930,67,1,関東,20250805,13687.0
C0972,20210328,66,1,東北,20250605,47833.0
C1634,20220201,80,1,関東,20251004,30989.0
C1444,20240222,54,1,近畿,20250108,25183.0
C0101,20241206,72,1,関東,20250205,15758.0
C0963,20240203,32,2,九州,20250504,-3918.0
C1545,20230428,77,2,中部,20250109,36405.0
C0573,20231010,43,1,四国,20250209,25832.0
C1333,20200327,47,1,近畿,20250628,40891.0
C0658,20220901,39,1,東北,20250509,40810.0
C0939,20200419,21,2,中国,20250309,41901.0
C1955,20231110,58,1,九州,20250603,12976.0
C1534,20230310,26,1,関東,20250103,33376.0
C1087,20211129,62,1,中国,20251230,526.0
C1657,20241016,57,2,中国,20250922,26086.0
C0226,20221011,78,2,近畿,20250104,16563.0
C0105,20210713,49,2,北海道,20250919,1472.0
C1998,20210424,75,1,関東,20251125,-2225.0
C0772,20220504,48,1,中部,20251009,10828.0
C1885,20230812,74,1,東北,20250326,39776.0
C1449,20230517,69,2,関東,20251208,12974.0
C1279,20210404,56,1,北海道,20250204,17388.0
C0429,20220127,49,1,近畿,20250424,10055.0
C0434,20210713,39,2,中国,20250228,13615.0
C1231,20220505,25,1,近畿,20250207,32886.0
C1052,20240423,53,1,近畿,20250202,17838.0
C0682,20220407,78,1,中部,20250722,35728.0
C1360,20230818,53,1,関東,20250721,45713.0
C0588,20231124,66,1,北海道,20250410,7464.0
C1652,20230413,51,2,北海道,20251028,47798.0
C1093,20230702,39,2,東北,20251031,35364.0
C0866,20211001,67,1,九州,20250428,2240.0
C0746,20200725,31,2,東北,20250831,-58.0
C1537,20210201,19,1,北海道,20250129,14622.0
C1191,20220831,25,1,北海道,20250815,8536.0
C0864,20220714,69,2,東北,20251206,-3400.0
C1754,20220714,61,1,近畿,20250801,700.0
C1809,20200826,41,2,近畿,20250706,33839.0
C0368,20221204,46,2,中部,20250423,5248.0
C0251,20201228,22,2,中部,20251026,40291.0
C0859,20211021,55,2,近畿,20250610,12093.0
C0856,20240529,67,1,東北,20250119,14355.0
C1955,20231110,58,1,九州,20250921,12177.0
C1710,20211017,39,2,関東,20250608,14483.0
C1194,20220622,23,2,東北,20250111,38815.0
C1782,20220410,75,2,中国,20250108,33533.0
C1959,20230502,61,1,関東,20250602,-4974.0
C1114,20211217,54,1,中国,20250423,34461.0
C0561,20231203,67,2,近畿,20250528,16706.0
C1470,20240329,39,1,近畿,20250207,19660.0
